hotel,is_canceled,arrival_date_year,arrival_date_month,adults,children,babies,country,reserved_room_type,assigned_room_type,reservation_status,reservation_status_date,room_status,guest_type
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,5/19/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,A,A,Check-Out,7/13/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,6/9/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,E,E,Check-Out,7/13/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,E,E,Check-Out,7/17/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,F,F,Check-Out,7/17/2015,Desired,Couple
Resort Hotel,1,2015,July,2,1,0,PRT,A,A,Canceled,4/15/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,GBR,A,C,Check-Out,7/4/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,C,Check-Out,7/4/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,A,C,Check-Out,7/4/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,E,E,Check-Out,7/4/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,USA,C,C,Check-Out,7/4/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,BEL,A,A,Check-Out,7/4/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,5/26/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,6/29/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,F,F,Canceled,5/13/2015,Desired,Couple
Resort Hotel,0,2015,July,3,0,0,ESP,E,E,Check-Out,7/10/2015,Desired,Family
Resort Hotel,0,2015,July,2,1,0,PRT,D,D,Check-Out,7/10/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,DEU,E,E,Check-Out,7/10/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,A,C,Check-Out,7/7/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,FRA,D,D,Check-Out,7/7/2015,Desired,Couple
Resort Hotel,0,2015,July,1,2,0,FRA,F,F,Check-Out,7/10/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,A,C,Check-Out,7/10/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,E,E,Check-Out,7/11/2015,Desired,Couple
Resort Hotel,1,2015,July,2,2,0,PRT,H,H,Canceled,6/9/2015,Desired,Family
Resort Hotel,1,2015,July,3,0,0,PRT,D,D,Canceled,5/20/2015,Desired,Family
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,4/22/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/11/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,1,PRT,A,A,Check-Out,7/11/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,CHE,D,D,Check-Out,7/11/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,1,PRT,E,F,Check-Out,7/11/2015,Un-Desired,Family
Resort Hotel,0,2015,July,2,0,0,GBR,A,A,Check-Out,7/11/2015,Desired,Couple
Resort Hotel,0,2015,July,3,0,0,PRT,E,E,Check-Out,7/12/2015,Desired,Family
Resort Hotel,1,2015,July,2,0,0,PRT,E,E,Canceled,5/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,D,D,Check-Out,7/14/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,7/14/2015,Desired,Couple
Resort Hotel,0,2015,July,2,1,0,PRT,D,D,Check-Out,7/14/2015,Desired,Family
Resort Hotel,0,2015,July,2,2,0,PRT,H,G,Check-Out,7/5/2015,Un-Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,D,C,Check-Out,7/5/2015,Un-Desired,Couple
Resort Hotel,1,2015,July,1,0,0,PRT,A,A,Canceled,5/29/2015,Desired,Single
Resort Hotel,1,2015,July,1,0,0,PRT,E,G,No-Show,7/4/2015,Un-Desired,Single
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,5/13/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,D,D,Canceled,6/16/2015,Desired,Couple
Resort Hotel,0,2015,July,4,0,0,PRT,H,H,Check-Out,7/5/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,ESP,E,E,Check-Out,7/5/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,FRA,A,C,Check-Out,7/6/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/6/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,FRA,A,A,Check-Out,7/6/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,FRA,A,C,Check-Out,7/6/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,A,C,Check-Out,7/6/2015,Un-Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,D,D,Canceled,7/1/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,A,C,Check-Out,7/6/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,1,0,0,DEU,A,A,Check-Out,7/6/2015,Desired,Single
Resort Hotel,0,2015,July,1,0,0,PRT,A,D,Check-Out,7/6/2015,Un-Desired,Single
Resort Hotel,0,2015,July,2,0,0,PRT,A,E,Check-Out,7/6/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,1,0,0,DEU,A,A,Check-Out,7/6/2015,Desired,Single
Resort Hotel,1,2015,July,2,0,0,PRT,D,D,Canceled,7/1/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,G,G,Check-Out,7/6/2015,Desired,Couple
Resort Hotel,0,2015,July,3,0,0,PRT,G,G,Check-Out,7/7/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,FRA,D,E,Check-Out,7/7/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,D,D,Check-Out,7/9/2015,Desired,Couple
Resort Hotel,0,2015,July,2,1,0,CN,A,D,Check-Out,7/10/2015,Un-Desired,Family
Resort Hotel,0,2015,July,2,0,0,ESP,E,E,Check-Out,7/10/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,E,E,Check-Out,7/10/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,H,H,Check-Out,7/11/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/11/2015,Desired,Couple
Resort Hotel,1,2015,July,2,2,0,PRT,H,H,Canceled,6/17/2015,Desired,Family
Resort Hotel,1,2015,July,2,0,0,PRT,D,D,Canceled,5/1/2015,Desired,Couple
Resort Hotel,0,2015,July,2,2,0,PRT,C,C,Check-Out,7/12/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,IRL,F,F,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,3/30/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,E,E,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,2,0,CHE,H,H,Check-Out,7/14/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,7/15/2015,Desired,Couple
Resort Hotel,0,2015,July,3,0,0,PRT,D,C,Check-Out,7/15/2015,Un-Desired,Family
Resort Hotel,0,2015,July,2,0,0,GBR,D,D,Check-Out,7/16/2015,Desired,Couple
Resort Hotel,0,2015,July,1,0,0,GBR,A,A,Check-Out,7/19/2015,Desired,Single
Resort Hotel,0,2015,July,2,0,0,GBR,D,D,Check-Out,7/19/2015,Desired,Couple
Resort Hotel,0,2015,July,2,2,0,PRT,G,G,Check-Out,7/11/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,A,C,Check-Out,7/10/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,USA,G,G,Check-Out,7/10/2015,Desired,Couple
Resort Hotel,0,2015,July,3,0,0,CN,D,D,Check-Out,7/10/2015,Desired,Family
Resort Hotel,0,2015,July,2,2,0,CHE,G,G,Check-Out,7/10/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,1,PRT,D,E,Check-Out,7/10/2015,Un-Desired,Family
Resort Hotel,0,2015,July,3,0,0,USA,G,G,Check-Out,7/10/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,A,H,Check-Out,7/6/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,1,0,0,PRT,E,H,Check-Out,7/6/2015,Un-Desired,Single
Resort Hotel,0,2015,July,2,1,0,PRT,A,E,Check-Out,7/7/2015,Un-Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,A,E,Check-Out,7/8/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,USA,D,F,Check-Out,7/8/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GRC,D,D,Check-Out,7/9/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,E,E,Canceled,6/3/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,E,Check-Out,7/10/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,C,Check-Out,7/10/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,E,E,Check-Out,7/11/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,F,F,Check-Out,7/11/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,A,C,Check-Out,7/12/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,E,E,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,2,0,PRT,G,G,Check-Out,7/13/2015,Desired,Family
Resort Hotel,1,2015,July,1,0,0,PRT,A,A,Canceled,6/26/2015,Desired,Single
Resort Hotel,0,2015,July,2,0,0,GBR,A,A,Check-Out,7/13/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,C,Check-Out,7/14/2015,Un-Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,D,D,Canceled,5/14/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,A,A,Check-Out,7/16/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,D,D,Check-Out,7/16/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,F,F,Check-Out,7/16/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,D,D,Check-Out,7/16/2015,Desired,Couple
Resort Hotel,0,2015,July,1,0,0,FRA,A,A,Check-Out,7/17/2015,Desired,Single
Resort Hotel,0,2015,July,2,0,0,ITA,D,D,Check-Out,7/20/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,A,A,Check-Out,7/20/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,7/13/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,5/7/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,A,A,Check-Out,7/10/2015,Desired,Couple
Resort Hotel,0,2015,July,2,1,0,PRT,F,F,Check-Out,7/10/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/7/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,E,Check-Out,7/7/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,1,0,0,GBR,A,A,Check-Out,7/8/2015,Desired,Single
Resort Hotel,0,2015,July,3,0,0,PRT,C,C,Check-Out,7/8/2015,Desired,Family
Resort Hotel,0,2015,July,1,0,0,GBR,A,A,Check-Out,7/8/2015,Desired,Single
Resort Hotel,0,2015,July,3,2,0,ESP,H,H,Check-Out,7/11/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,7/11/2015,Desired,Couple
Resort Hotel,0,2015,July,3,0,0,USA,D,E,Check-Out,7/11/2015,Un-Desired,Family
Resort Hotel,0,2015,July,2,0,0,NLD,A,A,Check-Out,7/11/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,5/28/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,E,E,Canceled,4/13/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,IRL,D,D,Check-Out,7/14/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,3/25/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,IRL,D,D,Check-Out,7/21/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,E,E,Check-Out,7/11/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,A,A,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,5/28/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,D,D,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,6/29/2015,Desired,Couple
Resort Hotel,0,2015,July,1,0,0,PRT,A,A,Check-Out,7/9/2015,Desired,Single
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,7/8/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,7/8/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,CHE,A,F,Check-Out,7/10/2015,Un-Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,5/28/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,E,E,Check-Out,7/14/2015,Desired,Couple
Resort Hotel,1,2015,July,2,1,0,PRT,D,D,Canceled,4/15/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,GBR,E,F,Check-Out,7/15/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,D,D,Check-Out,7/15/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,E,E,Check-Out,7/15/2015,Desired,Couple
Resort Hotel,0,2015,July,3,0,0,IRL,A,A,Check-Out,7/16/2015,Desired,Family
Resort Hotel,0,2015,July,3,0,0,DNK,E,E,Check-Out,7/17/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,DNK,E,E,Check-Out,7/17/2015,Desired,Couple
Resort Hotel,0,2015,July,2,2,0,PRT,C,C,Check-Out,7/10/2015,Desired,Family
Resort Hotel,0,2015,July,3,0,0,ARG,A,C,Check-Out,7/11/2015,Un-Desired,Family
Resort Hotel,0,2015,July,2,2,0,PRT,H,G,Check-Out,7/11/2015,Un-Desired,Family
Resort Hotel,1,2015,July,2,0,0,PRT,D,D,Canceled,6/2/2015,Desired,Couple
Resort Hotel,1,2015,July,2,2,0,PRT,C,C,Canceled,6/16/2015,Desired,Family
Resort Hotel,1,2015,July,2,2,0,PRT,G,G,Canceled,6/16/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,1,PRT,A,A,Check-Out,7/12/2015,Desired,Family
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,6/23/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,6/27/2015,Desired,Couple
Resort Hotel,0,2015,July,1,0,0,RUS,A,A,Check-Out,7/13/2015,Desired,Single
Resort Hotel,0,2015,July,2,0,0,SWE,A,A,Check-Out,7/14/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,POL,A,A,Check-Out,7/14/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,FRA,A,D,Check-Out,7/16/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,A,A,Check-Out,7/16/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,E,E,Check-Out,7/16/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,E,E,Check-Out,7/16/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/16/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,5/13/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,USA,A,A,Check-Out,7/11/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,1,0,PRT,G,G,Check-Out,7/12/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,C,C,Check-Out,7/13/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,AUS,A,C,Check-Out,7/13/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,E,E,Check-Out,7/13/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,F,F,Check-Out,7/14/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,F,F,Check-Out,7/14/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,E,E,Canceled,6/29/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,POL,A,A,Check-Out,7/15/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,2,PRT,C,C,Check-Out,7/15/2015,Desired,Family
Resort Hotel,0,2015,July,2,2,0,EST,G,G,Check-Out,7/15/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/17/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,7/17/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,7/17/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,E,E,Check-Out,7/17/2015,Desired,Couple
Resort Hotel,0,2015,July,1,0,0,RUS,E,E,Check-Out,7/17/2015,Desired,Single
Resort Hotel,0,2015,July,2,1,0,GBR,F,F,Check-Out,7/17/2015,Desired,Family
Resort Hotel,0,2015,July,2,1,1,PRT,C,C,Check-Out,7/17/2015,Desired,Family
Resort Hotel,0,2015,July,3,1,0,PRT,C,C,Check-Out,7/18/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,IRL,A,A,Check-Out,7/19/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,7/20/2015,Desired,Couple
